block_number,block_gas_used,tx_count,block_gas_used_lag_1,tx_count_lag_1
21331003,18341524,211,11766196.0,148.0
21331004,14086534,199,18341524.0,211.0
21331005,7411643,133,14086534.0,199.0
21331006,21434892,273,7411643.0,133.0
21331007,14764295,202,21434892.0,273.0
21331008,20184445,230,14764295.0,202.0
21331009,13450350,166,20184445.0,230.0
21331010,12662768,176,13450350.0,166.0
21331011,21440780,208,12662768.0,176.0
21331012,12729380,168,21440780.0,208.0
21331013,15797406,243,12729380.0,168.0
21331014,13647144,213,15797406.0,243.0
21331015,13643344,180,13647144.0,213.0
21331016,26982148,366,13643344.0,180.0
21331017,16090772,246,26982148.0,366.0
21331018,16778835,184,16090772.0,246.0
21331019,7372187,111,16778835.0,184.0
21331020,19644534,240,7372187.0,111.0
21331021,7448419,141,19644534.0,240.0
21331022,29648086,302,7448419.0,141.0
21331023,14214366,181,29648086.0,302.0
21331024,15900234,206,14214366.0,181.0
21331025,19458303,262,15900234.0,206.0
21331026,16089770,146,19458303.0,262.0
21331027,13240488,173,16089770.0,146.0
21331028,4873033,78,13240488.0,173.0
21331029,17707812,241,4873033.0,78.0
21331030,20280520,277,17707812.0,241.0
21331031,13903811,163,20280520.0,277.0
21331032,11486001,155,13903811.0,163.0
21331033,8322843,128,11486001.0,155.0
21331034,13418203,181,8322843.0,128.0
21331035,13958100,190,13418203.0,181.0
21331036,18393917,224,13958100.0,190.0
21331037,6711862,105,18393917.0,224.0
21331038,24388633,322,6711862.0,105.0
21331039,17119236,164,24388633.0,322.0
21331040,16029671,212,17119236.0,164.0
21331041,13971796,159,16029671.0,212.0
21331042,11763872,173,13971796.0,159.0
21331043,14650710,220,11763872.0,173.0
21331044,13756926,199,14650710.0,220.0
21331045,13269568,149,13756926.0,199.0
21331046,7479269,107,13269568.0,149.0
21331047,17439200,289,7479269.0,107.0
21331048,22518468,280,17439200.0,289.0
21331049,11585944,172,22518468.0,280.0
21331050,13642876,191,11585944.0,172.0
21331051,18669563,232,13642876.0,191.0
21331052,14140308,195,18669563.0,232.0
21331053,8663031,120,14140308.0,195.0
21331054,20564098,228,8663031.0,120.0
21331055,14102707,165,20564098.0,228.0
21331056,15900185,185,14102707.0,165.0
21331057,11986224,135,15900185.0,185.0
21331058,12739466,173,11986224.0,135.0
21331059,11668565,155,12739466.0,173.0
21331060,14386427,218,11668565.0,155.0
21331061,19444749,241,14386427.0,218.0
21331062,12016543,164,19444749.0,241.0
21331063,14120569,203,12016543.0,164.0
21331064,11012910,156,14120569.0,203.0
21331065,22340336,290,11012910.0,156.0
21331066,15486607,183,22340336.0,290.0
21331067,18213540,278,15486607.0,183.0
21331068,19225592,200,18213540.0,278.0
21331069,16064178,223,19225592.0,200.0
21331070,10219740,114,16064178.0,223.0
21331071,12511587,164,10219740.0,114.0
21331072,12276226,183,12511587.0,164.0
21331073,18429363,240,12276226.0,183.0
21331074,16135750,201,18429363.0,240.0
21331075,4521017,85,16135750.0,201.0
21331076,19351127,245,4521017.0,85.0
21331077,14894839,223,19351127.0,245.0
21331078,16140689,209,14894839.0,223.0
21331079,16929501,191,16140689.0,209.0
21331080,13051748,154,16929501.0,191.0
21331081,14647741,188,13051748.0,154.0
21331082,17461552,239,14647741.0,188.0
21331083,14810610,177,17461552.0,239.0
21331084,16147227,248,14810610.0,177.0
21331085,13775992,179,16147227.0,248.0
21331086,16386133,221,13775992.0,179.0
21331087,14668985,193,16386133.0,221.0
21331088,13780114,159,14668985.0,193.0
21331089,23399385,345,13780114.0,159.0
21331090,11098787,165,23399385.0,345.0
21331091,17349382,239,11098787.0,165.0
21331092,11688946,143,17349382.0,239.0
21331093,15065550,194,11688946.0,143.0
21331094,7662481,152,15065550.0,194.0
21331095,29983442,434,7662481.0,152.0
21331096,7287228,122,29983442.0,434.0
21331097,4026417,89,7287228.0,122.0
21331098,29995640,402,4026417.0,89.0
21331099,22046364,293,29995640.0,402.0
21331100,12035402,145,22046364.0,293.0
21331101,12355183,188,12035402.0,145.0
21331102,13938347,203,12355183.0,188.0
21331103,13963498,200,13938347.0,203.0
